City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,ampanihy,-24.7,44.75,19.02,73,0,3.89,MG,1699739802
161,santa ana de yacuma,-13.75,-65.4333,35.97,46,40,5.14,BO,1699739802
162,moissala,8.3404,17.7663,23.44,80,67,1.66,TD,1699739802
163,aasiaat,68.7098,-52.8699,-10.03,81,100,4.32,GL,1699739803
164,sidi ifni,29.3797,-10.173,22.39,50,9,2.02,MA,1699739804
165,kirakira,-10.4544,161.9205,26.95,85,100,4.49,SB,1699739804
166,caazapa,-26.15,-56.4,30.06,69,32,1.93,PY,1699739804
167,peace river,56.2501,-117.286,8.17,57,75,7.2,CA,1699739805
168,buturlino,55.5667,44.8974,2.23,92,100,2.78,RU,1699739805
169,portland,45.5234,-122.6762,13.65,88,100,4.63,US,1699738953
170,helston,50.1032,-5.2705,11.82,86,100,7.2,GB,1699739806
171,chonchi,-42.6128,-73.8092,8.4,81,77,4.59,CL,1699739807
172,porto novo,6.4965,2.6036,28.9,86,10,3.36,BJ,1699739697
173,orchard homes,46.8633,-114.0484,13.0,45,94,4.92,US,1699739807
174,aral,40.5156,81.2636,5.86,40,14,2.28,CN,1699739808
175,sumbe,-11.2061,13.8437,25.05,88,100,1.85,AO,1699739808
176,cam ranh,11.9214,109.1591,25.98,89,40,1.54,VN,1699739809
177,sinabang,2.4803,96.3801,26.02,85,100,1.98,ID,1699739809
178,mountain home,43.133,-115.6912,14.71,36,0,4.63,US,1699739034
179,catanduva,-21.1378,-48.9728,30.3,23,26,3.87,BR,1699739586
180,zinjibar,13.1287,45.3807,27.15,72,70,5.74,YE,1699739811
181,kavaratti,10.5669,72.642,28.79,71,99,1.54,IN,1699739811
182,conception bay south,47.4999,-52.9981,2.73,92,100,9.43,CA,1699739812
183,keflavik,64.0049,-22.5624,3.24,81,75,6.69,IS,1699739812
184,talnakh,69.4865,88.3972,-6.55,94,100,4.31,RU,1699739813
